id,year,state_name,state_code,district_name,district_code,registration_circles,murder_with_rape_gang_rape,dowry_deaths,abetment_to_suicide_of_women,miscarriage,acid_attack,attempt_to_acid_attack,cruelty_by_husband_or_his_relatives,kidnapping_and_abduction,kidnapping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnp_and_abductn_of_women_above_18_for_marrg,kidnp_and_abductn_of_girls_below_18_for_marrg,procuration_of_minor_girls,importation_of_girls_from_foreign,kidnapping_and_abduction_of_women_others,human_trafficking,selling_of_minor_girls,buying_of_minor_girls,rape_women_above_18,rape_girls_below_18,attempt_to_commit_rape_above_18,attempt_to_commit_rape_girls_below_18,assault_on_womenabove_18,assault_on_women_below_18,insult_to_the_modesty_of_women_above_18,insult_to_the_modesty_of_women_below_18,dowry_prohibition,procuring_inducing_children_for_the_sake_of_prostitution,detaining_a_prsn_in_premises_where_prost_is_carried,prostitution_in_or_in_the_vicinity_of_public_places,seducing_or_soliciting_for_purpose_of_prostitution,other_sections_under_itp_act,protection_of_women_from_domestic_violence,publshng_or_transmitting_of_sexually_explicit_mtrl,other_women_centric_cyber_crimes,child_rape,sexual_assault_of_children,child_sexual_harassment,use_of_child_for_pornography,offences_of_pocso_act,pocso_act_unnatural_offences,indecent_representation_of_women
0,2017,Andhra Pradesh,28,Ananthapuramu,502,Anantapur,0,14,55,0,0,0,471,11,0,4,7,25,16,0,3,2,0,0,20,23,10,1,408,9,7,1,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,2017,Andhra Pradesh,28,Chittoor,503,Chittoor,0,8,24,1,0,0,212,5,0,0,1,2,2,0,0,0,0,0,6,18,4,5,163,5,12,0,28,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0
2,2017,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,0,15,134,0,0,0,481,1,0,0,1,6,15,0,0,2,0,0,23,18,4,2,490,5,59,1,7,0,4,0,0,0,0,1,0,15,2,3,0,0,1,0
3,2017,Andhra Pradesh,28,East Godavari,505,East Godavari,0,10,18,0,1,0,601,10,0,0,4,0,6,0,1,0,0,0,19,89,9,3,465,42,124,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
4,2017,Andhra Pradesh,28,Ananthapuramu,502,Guntakal Railway,0,3,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,2017,Andhra Pradesh,28,Guntur,506,Guntur,0,14,49,0,0,,558,7,0,0,2,5,69,0,3,0,0,0,32,58,17,10,301,27,380,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
6,2017,Andhra Pradesh,28,Guntur,506,Guntur Urban,0,1,35,0,0,,335,2,0,0,3,71,0,0,0,0,0,0,14,24,5,3,133,25,179,5,1,0,0,0,0,45,0,0,2,0,1,4,0,0,0,1
7,2017,Andhra Pradesh,28,Krishna,510,Krishna,0,14,33,0,0,,620,49,0,0,6,10,0,0,21,0,0,0,35,46,11,7,405,36,215,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,2017,Andhra Pradesh,28,Kurnool,511,Kurnool,3,18,68,1,0,,313,3,0,0,2,15,17,0,3,0,0,0,17,17,6,0,336,3,409,1,395,4,0,1,0,0,0,0,0,15,6,5,0,0,0,0
9,2017,Andhra Pradesh,28,Sri Potti Sriramulu Nellore,515,Nellore,0,6,28,0,0,,469,14,0,0,1,8,1,0,2,0,0,0,15,43,13,2,296,0,88,2,0,0,0,0,0,13,0,0,0,0,10,2,0,1,0,0
10,2017,Andhra Pradesh,28,Prakasam,517,Prakasham,0,6,37,0,0,,598,15,0,0,10,15,5,0,5,10,0,0,35,56,13,0,368,5,4,0,1,0,0,0,0,0,0,0,0,56,20,20,0,0,0,0
11,2017,Andhra Pradesh,28,East Godavari,505,Rajahmundry,0,1,12,1,0,,163,0,0,0,0,3,1,0,0,2,0,0,15,11,2,2,92,6,26,5,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
12,2017,Andhra Pradesh,28,Srikakulam,519,Srikakulam,1,7,18,0,0,,224,0,0,0,0,10,0,0,0,1,0,0,10,27,0,0,88,9,7,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0
13,2017,Andhra Pradesh,28,Tirupati,752,Tirupathi Urban,0,7,7,0,0,,86,0,0,0,1,3,0,0,14,0,0,0,2,15,2,2,81,2,55,0,0,0,0,0,0,1,0,0,0,15,3,0,0,0,0,0
14,2017,Andhra Pradesh,28,Ntr,749,Vijayawada City,0,10,14,0,0,,460,9,0,0,3,7,5,0,0,18,0,0,41,38,1,1,233,42,117,18,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0
15,2017,Andhra Pradesh,28,Ntr,749,Vijayawada Railway,0,0,2,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2017,Andhra Pradesh,28,Visakhapatnam,520,Visakha Rural,0,1,6,0,0,,116,16,0,0,2,0,0,0,0,0,0,0,27,8,4,1,142,6,23,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
17,2017,Andhra Pradesh,28,Visakhapatnam,520,Visakhapatnam,0,7,16,0,0,,449,81,0,0,1,0,0,0,1,3,0,0,63,27,0,0,297,17,75,1,0,0,1,1,0,7,0,0,2,0,1,1,0,1,0,0
18,2017,Andhra Pradesh,28,Vizianagaram,521,Vizianagaram,1,3,7,0,0,,221,6,0,0,0,0,0,0,0,0,0,0,18,18,1,1,97,5,53,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0
19,2017,Andhra Pradesh,28,West Godavari,523,West Godavari,1,7,33,0,1,,777,15,0,0,2,22,1,0,24,4,0,0,60,0,23,10,474,6,108,0,0,5,0,3,0,3,0,0,0,70,53,42,0,0,0,0
20,2017,Arunachal Pradesh,12,Anjaw,628,Anjaw,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,Arunachal Pradesh,12,Changlang,229,Changlang,0,0,0,0,0,,1,1,0,0,3,0,0,0,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2017,Arunachal Pradesh,12,Papum Pare,237,Crime Branch,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2017,Arunachal Pradesh,12,Dibang Valley,230,Dibang Valley,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2017,Arunachal Pradesh,12,East Kameng,231,Kameng East,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2017,Arunachal Pradesh,12,West Kameng,242,Kameng West,0,0,0,0,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2017,Arunachal Pradesh,12,Kurung Kumey,233,Kurung Kumey,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2017,Arunachal Pradesh,12,Lohit,234,Lohit,0,0,0,0,0,0,3,1,0,0,2,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2017,Arunachal Pradesh,12,Longding,666,Longding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2017,Arunachal Pradesh,12,Lower Dibang Valley,235,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2017,Arunachal Pradesh,12,Papum Pare,237,Papum Pare City,0,0,2,0,0,0,30,17,0,1,1,1,0,0,10,1,0,0,4,8,4,4,27,6,4,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1
31,2017,Arunachal Pradesh,12,Papum Pare,237,Papum Pare Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
32,2017,Arunachal Pradesh,12,Lower Subansiri,236,Subansiri Lower,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2017,Arunachal Pradesh,12,Upper Subansiri,241,Subansiri Upper,0,0,1,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
34,2017,Arunachal Pradesh,12,Tawang,238,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2017,Arunachal Pradesh,12,Tirap,239,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2017,Arunachal Pradesh,12,Namsai,678,Namsai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
37,2017,Arunachal Pradesh,12,Siang,679,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
